rank,name,opp_team,real_lineup,fd_pts,fd_salary,dk_pts,dk_salary,batters,ump,platoon,park,hfa,dh,pen_era,ip,era,k_nine,team_w_perc,w,l,k,bb,h,hr,er
1,Hisashi Iwakuma,HOU,N,11.95,8300,19.21,8800,9,,5,SEA,Y,Y,3.47,6.37,3.71,8.86,0.63,0.44,0.26,6.27,1.57,5.76,0.79,2.47
2,Jake Arrieta,PIT,Y,11.7,9200,19.35,9500,8,,5,PIT,N,N,2.62,6.97,2.67,5.99,0.63,0.44,0.27,4.64,1.73,4.29,0.45,1.67
3,Matt Shoemaker,OAK,N,11.37,8500,18.04,8100,9,,4,ANA,Y,Y,2.49,6.6,3.31,7.14,0.61,0.43,0.28,5.24,1.77,5.74,0.44,2.18
4,Justin Masterson,BAL,Y,10.94,7000,16.64,6300,9,,3,BOS,Y,Y,3.27,6.1,4.17,8.47,0.62,0.43,0.27,5.74,2.2,5.94,0.54,2.64
5,A.J. Burnett,CHN,Y,10.41,7000,16.7,8200,9,,4,PIT,Y,N,3.23,6.47,3.54,7.15,0.37,0.26,0.45,5.14,2.23,5.37,0.45,2.25
6,CC Sabathia,DET,Y,9.7,7400,14.78,8300,9,,0,DET,N,Y,3.76,6.35,3.74,6.39,0.45,0.32,0.39,4.51,1.79,6.16,0.66,2.43
7,Wily Peralta,CIN,Y,9.65,7200,14.43,7000,9,,5,MIL,Y,N,3.75,5.99,4.37,7.33,0.55,0.38,0.32,4.88,2.05,5.82,0.8,2.75
8,Alfredo Simon,NYA,Y,9.55,7400,14.09,5300,9,,1,DET,Y,Y,2.57,6.27,3.88,6.04,0.55,0.39,0.32,4.21,1.88,6.22,0.7,2.48
9,John Danks,CLE,N,8.94,6300,12.56,5300,9,,4,CHW,Y,Y,4.22,5.87,4.57,6.75,0.55,0.39,0.32,4.4,2.3,6.21,0.83,2.88
10,Trevor Bauer,CHA,Y,8.86,8800,12.42,7100,9,,4,CHW,N,Y,4.8,5.59,5.06,8.24,0.45,0.32,0.39,5.12,2.89,5.92,0.94,3.13
11,Edinson Volquez,MIN,Y,8.66,9000,12.0,6600,9,,4,KCR,Y,Y,4.12,5.84,4.63,6.51,0.52,0.36,0.35,4.22,2.58,6.09,0.55,2.85
12,Jorge De La Rosa,SDN,N,8.27,6800,11.1,6800,9,,1,COL,Y,N,4.04,5.45,5.3,7.34,0.56,0.39,0.32,4.44,2.21,6.28,0.87,3.2
13,Anthony DeSclafani,MIL,Y,7.54,6900,9.78,6200,9,,7,MIL,N,N,3.12,5.39,5.41,7.03,0.45,0.32,0.39,4.21,2.2,6.5,0.91,3.35
14,Asher Wojciechowski,SEA,N,7.53,5800,9.77,4400,9,,3,SEA,N,Y,4.15,5.26,5.63,8.0,0.37,0.26,0.45,4.67,2.48,6.56,0.91,3.45
15,Kyle Gibson,KCA,Y,7.45,6300,9.79,5300,9,,4,KCR,N,Y,4.32,5.92,4.49,4.57,0.48,0.34,0.37,3.0,1.83,6.67,0.53,2.84
16,Wei-Yin Chen,BOS,Y,7.34,7600,9.63,6700,9,,2,BOS,N,Y,5.14,5.6,5.05,6.11,0.38,0.27,0.44,3.8,2.01,6.71,0.73,3.14
17,Kendall Graveman,ANA,N,7.17,5500,8.84,5300,9,,6,ANA,N,Y,1.33,5.26,5.64,7.21,0.39,0.28,0.43,4.21,2.57,6.66,0.78,3.41
18,Odrisamer Despaigne,COL,N,6.12,6600,6.67,5600,9,,5,COL,N,N,4.18,4.97,6.15,6.54,0.44,0.31,0.4,3.61,2.07,7.0,0.98,3.71
