"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"9642","PG","Russell","Westbrook","60.3","2","11200","DEN@OKC","OKC","DEN","","","",""
"9646","SF","Kevin","Durant","46.3","2","10400","DEN@OKC","OKC","DEN","","","",""
"9644","SG","James","Harden","37.6","2","10400","HOU@MIA","HOU","MIA","","","",""
"12337","C","Greg","Monroe","43.7","2","8300","MIL@TOR","MIL","TOR","","","",""
"9660","C","Dwight","Howard","20.4","1","8200","HOU@MIA","HOU","MIA","O","Back","",""
"9714","SG","DeMar","DeRozan","41.7","2","8200","MIL@TOR","TOR","MIL","","","",""
"15684","SG","Victor","Oladipo","45.4","2","8100","ORL@CHI","ORL","CHI","","","",""
"9718","PF","Chris","Bosh","33","2","8000","HOU@MIA","MIA","HOU","","","",""
"9566","SG","Kobe","Bryant","26.8","2","7900","DAL@LAL","LAL","DAL","","","",""
"14514","C","Nikola","Vucevic","35.4","2","7900","ORL@CHI","ORL","CHI","","","",""
"9570","PF","Pau","Gasol","30.2","3","7900","ORL@CHI","CHI","ORL","","","",""
"14528","SG","Jimmy","Butler","38","3","7800","ORL@CHI","CHI","ORL","","","",""
"9535","PG","Kyle","Lowry","38.8","2","7700","MIL@TOR","TOR","MIL","","","",""
"9475","PG","Derrick","Rose","21","3","7500","ORL@CHI","CHI","ORL","","","",""
"12363","C","Hassan","Whiteside","24","2","7400","HOU@MIA","MIA","HOU","","","",""
"19138","PG","Elfrid","Payton","31.1","2","7400","ORL@CHI","ORL","CHI","","","",""
"14518","SF","Tobias","Harris","35.9","2","7100","ORL@CHI","ORL","CHI","","","",""
"9585","SG","Dwyane","Wade","32.7","2","7100","HOU@MIA","MIA","HOU","","","",""
"9964","PG","Ty","Lawson","23.1","2","7100","HOU@MIA","HOU","MIA","","","",""
"14537","SF","Chandler","Parsons","26.5","66","7000","DAL@LAL","DAL","LAL","GTD","Knee","",""
"16201","PG","Michael","Carter-Williams","33.9","2","7000","MIL@TOR","MIL","TOR","","","",""
"14521","PF","Kenneth","Faried","32.4","2","6900","DEN@OKC","DEN","OKC","","","",""
"9957","PF","Serge","Ibaka","22.5","2","6900","DEN@OKC","OKC","DEN","","","",""
"9722","PG","Deron","Williams","25.9","1","6900","DAL@LAL","DAL","LAL","GTD","Knee","",""
"14516","C","Enes","Kanter","25.7","2","6800","DEN@OKC","OKC","DEN","","","",""
"20640","PG","Jordan","Clarkson","25.1","2","6600","DAL@LAL","LAL","DAL","","","",""
"9637","SF","Danilo","Gallinari","29","2","6600","DEN@OKC","DEN","OKC","","","",""
"40199","SG","Giannis","Antetokounmpo","40.8","1","6500","MIL@TOR","MIL","TOR","","","",""
"14519","PF","Donatas","Motiejunas","22.7","71","6400","HOU@MIA","HOU","MIA","O","Back","",""
"9500","PF","Dirk","Nowitzki","29.9","2","6300","DAL@LAL","DAL","LAL","","","",""
"9787","SF","DeMarre","Carroll","30.8","2","6300","MIL@TOR","TOR","MIL","","","",""
"9673","PG","Goran","Dragic","22.9","2","6300","HOU@MIA","MIA","HOU","","","",""
"42550","PF","Jabari","Parker","22.5","25","6200","MIL@TOR","MIL","TOR","O","Knee","",""
"14522","SF","Nikola","Mirotic","30.9","3","6200","ORL@CHI","CHI","ORL","","","",""
"9636","SF","Wilson","Chandler","24.6","78","6200","DEN@OKC","DEN","OKC","O","Hip","",""
"14503","C","Jonas","Valanciunas","29","2","6100","MIL@TOR","TOR","MIL","","","",""
"9799","SG","Wesley","Matthews","16.1","1","6000","DAL@LAL","DAL","LAL","GTD","Achilles","",""
"16261","SF","Khris","Middleton","20.8","2","5900","MIL@TOR","MIL","TOR","","","",""
"9479","SF","Luol","Deng","21.2","2","5700","HOU@MIA","MIA","HOU","","","",""
"15757","PF","Terrence","Jones","18.3","2","5700","HOU@MIA","HOU","MIA","GTD","Face","",""
"63124","PG","Emmanuel","Mudiay","25","2","5500","DEN@OKC","DEN","OKC","","","",""
"9538","SF","Trevor","Ariza","16.2","2","5500","HOU@MIA","HOU","MIA","","","",""
"9553","C","Roy","Hibbert","28.5","2","5400","DAL@LAL","LAL","DAL","","","",""
"58312","PG","D'Angelo","Russell","12.5","2","5300","DAL@LAL","LAL","DAL","","","",""
"9454","C","Zaza","Pachulia","22.8","2","5300","DAL@LAL","DAL","LAL","","","",""
"9483","C","Joakim","Noah","13.5","3","5200","ORL@CHI","CHI","ORL","","","",""
"17333","SG","Will","Barton","22.1","2","4900","DEN@OKC","DEN","OKC","","","",""
"9662","SG","Louis","Williams","23.7","2","4900","DAL@LAL","LAL","DAL","","","",""
"16220","SG","Dion","Waiters","13.1","2","4700","DEN@OKC","OKC","DEN","","","",""
"9652","PG","Jameer","Nelson","16","2","4600","DEN@OKC","DEN","OKC","","","",""
"9495","PG","Jose Juan","Barea","19","2","4500","DAL@LAL","DAL","LAL","","","",""
"9481","PF","Taj","Gibson","14.2","3","4500","ORL@CHI","CHI","ORL","","","",""
"55059","C","Clint","Capela","23.3","2","4500","HOU@MIA","HOU","MIA","","","",""
"15587","SF","Ryan","Kelly","20.2","2","4400","DAL@LAL","LAL","DAL","","","",""
"42669","PF","Julius","Randle","16.1","2","4400","DAL@LAL","LAL","DAL","","","",""
"23169","C","Steven","Adams","21.8","2","4400","DEN@OKC","OKC","DEN","","","",""
"15952","PF","John","Henson","7.7","1","4400","MIL@TOR","MIL","TOR","GTD","Achilles","",""
"23096","SG","Evan","Fournier","23.4","2","4300","ORL@CHI","ORL","CHI","","","",""
"12344","PG","Greivis","Vasquez","19.9","2","4300","MIL@TOR","MIL","TOR","","","",""
"9613","SG","Devin","Harris","18.2","2","4300","DAL@LAL","DAL","LAL","","","",""
"9534","PG","Aaron","Brooks","13.6","3","4200","ORL@CHI","CHI","ORL","","","",""
"9547","SF","Mike","Dunleavy","17.8","63","4200","ORL@CHI","CHI","ORL","O","Back","",""
"41594","PF","Aaron","Gordon","22.8","2","4100","ORL@CHI","ORL","CHI","","","",""
"9737","SG","Nick","Young","23.2","2","4100","DAL@LAL","LAL","DAL","","","",""
"12340","PF","Patrick","Patterson","11.7","2","4100","MIL@TOR","TOR","MIL","","","",""
"9542","PF","Luis","Scola","14.5","2","4100","MIL@TOR","TOR","MIL","","","",""
"9606","SF","Corey","Brewer","19.2","2","4100","HOU@MIA","HOU","MIA","","","",""
"24544","SG","Gary","Harris","16.6","2","4100","DEN@OKC","DEN","OKC","","","",""
"9465","PG","Raymond","Felton","21","2","4100","DAL@LAL","DAL","LAL","","","",""
"17332","C","Tarik","Black","1.2","1","4000","DAL@LAL","LAL","DAL","","","",""
"14505","C","Bismack","Biyombo","13.6","2","4000","MIL@TOR","TOR","MIL","","","",""
"55057","C","Jusuf","Nurkic","18","62","4000","DEN@OKC","DEN","OKC","O","Knee","",""
"9466","PG","D.J.","Augustin","21.1","2","4000","DEN@OKC","OKC","DEN","","","",""
"9778","PF","Josh","McRoberts","5.8","2","3900","HOU@MIA","MIA","HOU","","","",""
"9529","SG","Anthony","Morrow","8.6","2","3900","DEN@OKC","OKC","DEN","","","",""
"9583","PG","Mario","Chalmers","15.9","2","3900","HOU@MIA","MIA","HOU","","","",""
"9680","PF","Amar'e","Stoudemire","5.6","1","3900","HOU@MIA","MIA","HOU","","","",""
"12474","PG","Patrick","Beverley","15.5","2","3900","HOU@MIA","HOU","MIA","","","",""
"9491","PF","J.J.","Hickson","16.8","73","3800","DEN@OKC","DEN","OKC","","","",""
"63123","SF","Mario","Hezonja","8.3","2","3800","ORL@CHI","ORL","CHI","","","",""
"9733","SG","Randy","Foye","6.4","2","3800","DEN@OKC","DEN","OKC","","","",""
"16335","SG","John","Jenkins","13.4","2","3800","DAL@LAL","DAL","LAL","","","",""
"9849","SG","Gerald","Green","12.5","2","3800","HOU@MIA","MIA","HOU","","","",""
"9574","SG","O.J.","Mayo","19","71","3800","MIL@TOR","MIL","TOR","GTD","Hamstring","",""
"42156","PF","Bobby","Portis","0","0","3800","ORL@CHI","CHI","ORL","","","",""
"17517","SG","Tony","Snell","12.8","3","3800","ORL@CHI","CHI","ORL","","","",""
"18256","SF","Doug","McDermott","10","3","3800","ORL@CHI","CHI","ORL","","","",""
"9669","PF","Jason","Smith","5.2","1","3800","ORL@CHI","ORL","CHI","","","",""
"9678","PF","Channing","Frye","15.1","75","3800","ORL@CHI","ORL","CHI","","","",""
"40209","PF","Joffrey","Lauvergne","20.5","2","3800","DEN@OKC","DEN","OKC","","","",""
"58084","SF","Justise","Winslow","11.4","2","3700","HOU@MIA","MIA","HOU","","","",""
"9739","C","JaVale","McGee","9.1","23","3700","DAL@LAL","DAL","LAL","O","Leg","",""
"16301","C","Dewayne","Dedmon","14.7","2","3700","ORL@CHI","ORL","CHI","","","",""
"9525","PG","C.J.","Watson","8.8","2","3700","ORL@CHI","ORL","CHI","","","",""
"14529","PG","Cory","Joseph","8.1","2","3700","MIL@TOR","TOR","MIL","","","",""
"16405","SG","Terrence","Ross","15.2","2","3700","MIL@TOR","TOR","MIL","","","",""
"9659","PF","Brandon","Bass","9.6","2","3700","DAL@LAL","LAL","DAL","","","",""
"58661","SG","Rashad","Vaughn","10.4","1","3700","MIL@TOR","MIL","TOR","","","",""
"9955","SG","Marcus","Thornton","12","48","3700","HOU@MIA","HOU","MIA","","","",""
"9520","PF","Charlie","Villanueva","12.1","2","3600","DAL@LAL","DAL","LAL","","","",""
"9810","PG","Jerryd","Bayless","18.1","2","3600","MIL@TOR","MIL","TOR","","","",""
"23776","PF","Montrezl","Harrell","17.9","2","3600","HOU@MIA","HOU","MIA","","","",""
"23220","SF","Chris","Copeland","10.7","2","3600","MIL@TOR","MIL","TOR","","","",""
"55062","C","Nikola","Jokic","10.6","2","3600","DEN@OKC","DEN","OKC","","","",""
"16196","PF","Dwight","Powell","18.7","2","3600","DAL@LAL","DAL","LAL","","","",""
"9496","PG","Jason","Terry","6.2","1","3500","HOU@MIA","HOU","MIA","","","",""
"12391","PF","Jeremy","Evans","12","2","3500","DAL@LAL","DAL","LAL","","","",""
"18702","C","Robert","Sacre","3.4","1","3500","DAL@LAL","LAL","DAL","","","",""
"15548","SG","Andre","Roberson","5.3","2","3500","DEN@OKC","OKC","DEN","","","",""
"15792","C","Johnny","O'Bryant","10","2","3500","MIL@TOR","MIL","TOR","","","",""
"23920","PF","Anthony","Bennett","3.6","1","3500","MIL@TOR","TOR","MIL","","","",""
"48567","PG","Cameron","Payne","0","0","3500","DEN@OKC","OKC","DEN","","","",""
"15532","SF","K.J.","McDaniels","2.6","2","3500","HOU@MIA","HOU","MIA","","","",""
"9478","SG","Kirk","Hinrich","1.5","1","3500","ORL@CHI","CHI","ORL","","","",""
"16293","SG","Norman","Powell","0","0","3500","MIL@TOR","TOR","MIL","","","",""
"14554","PG","E'Twaun","Moore","9.5","3","3500","ORL@CHI","CHI","ORL","","","",""
"9734","SF","Mike","Miller","0.7","2","3500","DEN@OKC","DEN","OKC","","","",""
"9513","C","Chris","Andersen","14.6","60","3500","HOU@MIA","MIA","HOU","","","",""
"14532","SF","Kyle","Singler","5.2","1","3500","DEN@OKC","OKC","DEN","","","",""
"64017","C","Salah","Mejri","4.4","2","3500","DAL@LAL","DAL","LAL","","","",""
"15591","C","Miles","Plumlee","2.8","2","3500","MIL@TOR","MIL","TOR","","","",""
"63478","C","Cristiano","Felicio","0","0","3500","ORL@CHI","CHI","ORL","","","",""
"9589","PF","Udonis","Haslem","13.3","1","3500","HOU@MIA","MIA","HOU","","","",""
"9580","PF","Darrell","Arthur","14.9","2","3500","DEN@OKC","DEN","OKC","","","",""
"16378","SG","Erick","Green","0.8","2","3500","DEN@OKC","DEN","OKC","","","",""
"9568","SF","Metta","World Peace","9.7","29","3500","DAL@LAL","LAL","DAL","","","",""
"15560","PG","Shabazz","Napier","0","1","3500","ORL@CHI","ORL","CHI","","","",""
"20992","PF","Larry","Nance Jr.","0","0","3500","DAL@LAL","LAL","DAL","","","",""
"9895","SF","Steve","Novak","3","35","3500","DEN@OKC","OKC","DEN","","","",""
"23799","PF","Mitch","McGary","14.2","32","3500","DEN@OKC","OKC","DEN","","","",""
"17491","SF","James","Ennis","1.5","1","3500","HOU@MIA","MIA","HOU","","","",""
"9649","PF","Nick","Collison","2.1","1","3500","DEN@OKC","OKC","DEN","","","",""
"23744","SF","Justin","Anderson","9.5","2","3500","DAL@LAL","DAL","LAL","","","",""
"16191","SF","Josh","Huestis","0","0","3500","DEN@OKC","OKC","DEN","","","",""
"16188","SF","Anthony","Brown","5","1","3500","DAL@LAL","LAL","DAL","","","",""
"18600","PG","Tyler","Johnson","0","1","3500","HOU@MIA","MIA","HOU","","","",""
"17520","PF","Cameron","Bairstow","1.3","18","3500","ORL@CHI","CHI","ORL","","","",""
"40830","PG","Delon","Wright","0","0","3500","MIL@TOR","TOR","MIL","","","",""
"55058","SF","Bruno","Caboclo","1.3","8","3500","MIL@TOR","TOR","MIL","","","",""
"55061","SF","Damien","Inglis","5.8","2","3500","MIL@TOR","MIL","TOR","","","",""
"9966","SF","James","Johnson","1.4","2","3500","MIL@TOR","TOR","MIL","","","",""
"16233","SG","Josh","Richardson","0","0","3500","HOU@MIA","MIA","HOU","","","",""
"42689","PG","Tyler","Ennis","8.4","33","3500","MIL@TOR","MIL","TOR","O","Shoulder","",""
"40200","C","Lucas","Nogueira","3.8","6","3500","MIL@TOR","TOR","MIL","GTD","Hamstring","",""
"23282","SF","Sam","Dekker","1.6","2","3500","HOU@MIA","HOU","MIA","","","",""
"66521","PG","Marcelo","Huertas","9.4","2","3500","DAL@LAL","LAL","DAL","","","",""
"17218","PF","Andrew","Nicholson","8.4","40","3500","ORL@CHI","ORL","CHI","","","",""
"15699","SG","Roy Devyn","Marble","7","16","3500","ORL@CHI","ORL","CHI","","","",""
